train_code,is_moving,from_code,to_code,date,time
TRAIN 0-0,False,CC1,CC2,06/01/2017,06:00
TRAIN 1-0,False,CC29,CC28,06/01/2017,06:00
TRAIN 0-0,False,CC2,CC3,06/01/2017,06:01
TRAIN 1-0,True,CC29,CC28,06/01/2017,06:02
TRAIN 0-0,True,CC2,CC3,06/01/2017,06:03
TRAIN 0-0,False,CC3,CC4,06/01/2017,06:03
TRAIN 1-0,True,CC29,CC28,06/01/2017,06:03
TRAIN 1-0,False,CC28,CC27,06/01/2017,06:03
TRAIN 0-0,True,CC3,CC4,06/01/2017,06:05
TRAIN 0-0,False,CC4,CC5,06/01/2017,06:05
TRAIN 0-1,False,CC1,CC2,06/01/2017,06:05
TRAIN 1-0,True,CC28,CC27,06/01/2017,06:05
TRAIN 1-0,False,CC27,CC26,06/01/2017,06:05
TRAIN 1-1,False,CC29,CC28,06/01/2017,06:05
TRAIN 0-1,False,CC2,CC3,06/01/2017,06:06
TRAIN 0-0,True,CC4,CC5,06/01/2017,06:07
TRAIN 0-0,False,CC5,CC6,06/01/2017,06:07
TRAIN 1-0,True,CC27,CC26,06/01/2017,06:07
TRAIN 1-0,False,CC26,CC25,06/01/2017,06:07
TRAIN 1-1,True,CC29,CC28,06/01/2017,06:07
TRAIN 0-1,True,CC2,CC3,06/01/2017,06:08
TRAIN 0-1,False,CC3,CC4,06/01/2017,06:08
TRAIN 1-1,True,CC29,CC28,06/01/2017,06:08
TRAIN 1-1,False,CC28,CC27,06/01/2017,06:08
TRAIN 0-0,True,CC5,CC6,06/01/2017,06:09
TRAIN 1-0,True,CC26,CC25,06/01/2017,06:09
TRAIN 0-0,True,CC5,CC6,06/01/2017,06:10
TRAIN 0-0,False,CC6,CC7,06/01/2017,06:10
TRAIN 0-1,True,CC3,CC4,06/01/2017,06:10
TRAIN 0-1,False,CC4,CC5,06/01/2017,06:10
TRAIN 0-2,False,CC1,CC2,06/01/2017,06:10
TRAIN 1-0,True,CC26,CC25,06/01/2017,06:10
TRAIN 1-0,False,CC25,CC24,06/01/2017,06:10
TRAIN 1-1,True,CC28,CC27,06/01/2017,06:10
TRAIN 1-1,False,CC27,CC26,06/01/2017,06:10
TRAIN 1-2,False,CC29,CC28,06/01/2017,06:10
TRAIN 0-0,False,CC7,CC8,06/01/2017,06:11
TRAIN 0-2,False,CC2,CC3,06/01/2017,06:11
TRAIN 0-1,True,CC4,CC5,06/01/2017,06:12
TRAIN 0-1,False,CC5,CC6,06/01/2017,06:12
TRAIN 1-0,True,CC25,CC24,06/01/2017,06:12
TRAIN 1-0,False,CC24,CC23,06/01/2017,06:12
TRAIN 1-1,True,CC27,CC26,06/01/2017,06:12
TRAIN 1-1,False,CC26,CC25,06/01/2017,06:12
TRAIN 1-2,True,CC29,CC28,06/01/2017,06:12
TRAIN 0-0,True,CC7,CC8,06/01/2017,06:13
TRAIN 0-0,False,CC8,CC9,06/01/2017,06:13
TRAIN 0-2,True,CC2,CC3,06/01/2017,06:13
TRAIN 0-2,False,CC3,CC4,06/01/2017,06:13
TRAIN 1-2,True,CC29,CC28,06/01/2017,06:13
TRAIN 1-2,False,CC28,CC27,06/01/2017,06:13
TRAIN 0-1,True,CC5,CC6,06/01/2017,06:14
TRAIN 1-0,True,CC24,CC23,06/01/2017,06:14
TRAIN 1-0,False,CC23,CC22,06/01/2017,06:14
TRAIN 1-1,True,CC26,CC25,06/01/2017,06:14
TRAIN 0-0,True,CC8,CC9,06/01/2017,06:15
TRAIN 0-1,True,CC5,CC6,06/01/2017,06:15
TRAIN 0-1,False,CC6,CC7,06/01/2017,06:15
TRAIN 0-2,True,CC3,CC4,06/01/2017,06:15
TRAIN 0-2,False,CC4,CC5,06/01/2017,06:15
TRAIN 0-3,False,CC1,CC2,06/01/2017,06:15
TRAIN 1-1,True,CC26,CC25,06/01/2017,06:15
TRAIN 1-1,False,CC25,CC24,06/01/2017,06:15
TRAIN 1-2,True,CC28,CC27,06/01/2017,06:15
